# The structure is exactly the same as in connection matric from table seven in (Rakowski, 2013)

ASH	AVA	AVB	AVD	AVE	DVA	PVC	F	B
AVA	AVB	AVD	AVE	DVA	PVC	F	B
1.75	0	6.75	15.75	10.5	2.0	5.0	0	0.25
0	0	0	0	0	0	2.5	2.5	3.5

2.25	0.5	0	0.25	0	0.5	7.75	0	0
0	0	0	0	0	1.0	0	13.75	0.5

3.0	1.0	0.75	0	0.25	0	3.25	0	0.25
0	0	0	0	0	0	0	0	0

0.75	1.0	0.75	0	0	7.0	1.25	0	0
0	0	0	0	0	0	0	0	0

0	0	0	0	0	0	2.0	0.5	0
0	0	1.0	0	0	0	0.5	0.5	0

0	7.0	0	0.25	0.25	2.0	0	0.25	1.25
0	2.5	0	0	0	0.5	0	0.75	0.75

0	2.5	0.25	0.25	0.25	6.5	0	0	0
0	3.5	13.75	0	0	0.5	0.75	0	0

0	41.75	1.5	7.0	8.25	1.0	1.0	0	0
0	25.5	0.5	0	0	0	0.75	0	0
